#Version
1.8.0.0

#Width
25

#Height
20

#Sprite Backgroud Layer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,13,13,13,4,0,0,0,0,0,0,5,13,13,7,13,4,0,0,0,0,0,0,0,0
15,1,1,1,14,0,0,0,0,5,13,25,1,1,42,1,26,4,0,0,0,0,0,0,0
15,1,1,1,14,0,0,0,5,25,1,1,1,27,16,1,1,26,13,13,13,13,13,13,4
25,1,1,1,14,0,0,0,15,1,1,27,12,3,2,24,1,1,1,1,1,1,1,1,26
1,1,1,1,14,0,0,0,15,1,1,26,4,0,0,2,24,1,1,1,1,1,1,1,1
12,12,24,1,14,0,0,0,2,24,1,1,14,0,0,0,9,43,43,43,36,1,1,1,27
0,0,15,1,14,0,0,0,0,2,24,1,14,0,0,0,15,1,1,1,42,1,1,1,14
0,0,15,1,26,4,0,5,13,13,25,1,14,0,0,0,15,1,1,1,42,1,1,27,3
0,0,15,1,1,26,13,25,1,1,1,1,14,0,0,0,2,24,1,39,35,1,1,14,0
0,0,2,24,1,1,1,1,1,27,12,12,3,0,0,5,13,25,1,1,1,1,1,14,0
0,0,0,2,12,12,12,12,12,3,0,0,0,0,0,15,1,1,1,1,1,1,1,14,0
0,0,0,5,13,13,4,0,0,5,13,13,13,4,0,15,1,1,1,1,1,1,27,3,0
0,5,13,17,1,1,14,0,0,15,1,1,1,14,0,15,1,1,1,1,27,12,3,0,0
0,15,1,41,1,1,14,0,5,25,1,1,1,14,0,2,12,24,1,1,26,4,0,0,0
0,15,1,1,1,39,22,4,15,1,1,1,1,26,13,13,13,17,1,1,1,26,4,0,0
0,2,24,1,1,1,1,14,15,1,1,1,1,1,1,1,1,34,43,38,1,1,14,0,0
0,0,2,12,12,12,12,3,2,12,12,12,12,12,12,12,24,1,1,1,1,1,14,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,12,12,12,12,3,0,0

#Sprite Foregroud Layer
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,2,2,10,2,11,2,2,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,2,2,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,4,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
