#Version
1.8.0.0

#Width
22

#Height
17

#Sprite Backgroud Layer
0,15,1,1,1,1,1,1,1,14,0,0,0,0,0,0,0,5,25,1,1,1
0,2,12,24,1,1,1,1,1,26,4,0,0,0,0,0,0,15,1,1,1,1
0,0,0,15,1,1,1,1,1,1,26,13,13,13,13,13,13,17,1,1,1,1
0,0,0,15,1,1,1,1,1,1,1,1,1,1,1,1,1,34,43,43,38,1
0,0,0,2,24,1,1,39,36,1,1,1,1,1,1,1,1,1,1,1,1,1
13,13,13,13,25,1,1,1,42,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,42,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,34,43,43,23,12,12,12,20,43,43,32,43,43,43
24,1,1,1,1,1,40,1,1,1,1,26,4,0,0,15,1,1,42,1,1,1
2,12,12,24,1,1,41,1,1,1,1,1,26,4,0,15,1,1,42,1,1,1
0,0,0,15,1,1,1,1,1,39,43,36,1,14,0,15,1,1,42,1,1,1
0,0,0,15,1,1,1,1,1,1,1,19,12,3,0,15,1,1,19,12,24,1
0,5,13,25,1,1,1,1,1,40,1,26,13,13,13,25,1,27,3,0,15,1
0,15,1,1,1,1,1,1,27,16,1,1,1,1,1,1,1,14,0,0,15,1
0,2,24,1,1,1,1,1,14,2,12,12,12,20,38,1,27,3,0,0,15,1
0,0,2,12,12,24,1,1,14,0,0,0,0,15,1,1,26,13,13,13,25,1
0,0,0,0,0,2,12,12,3,0,0,0,0,15,1,1,1,1,1,1,1,1

#Sprite Foregroud Layer
0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0
0,0,0,0,0,4,1,1,1,3,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0,0,2,0,0,6,0,0,6,0,0,0,18,0,0
0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,0,2,0,0
0,0,0,0,0,4,1,3,0,4,1,1,5,1,1,5,1,1,1,5,3,0
0,6,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,4,1,1,3,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0
0,0,0,0,2,0,0,4,1,1,3,0,0,0,0,0,6,0,0,0,2,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,2,0,6,1,1,1,3,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,4,1,5,0,0,0,4,1,1,1,1,1,5,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

#Connections
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
